id,source,date,statement,title,url
11,PIB,2025-11-21,"#IFFIWood, 20 November 2025 Gabriel Mascaro’s dystopian tale The Blue Trail, known in its native Portuguese as ‘O Último Azul’ , has ignited the first spark today of the 56th International Film Festival of India (IFFI) marking the unfolding in the coastal sway of Goa. The opening film has been embraced widely stirring admiration and wonder alike. Before the film lit up the screen, the cast and crew of the film including María Alejandra Rojas, Arturo Salazar RB, Clarissa Pinheiro, Rosa Malagueta and Gabriel Mascaro graced the Red carpet. L. Murugan, Minister of State for Information & Broadcasting, and Parliamentary Affairs; Pramod Sawant, Chief Minister of Goa; Sanjay Jaju, Secretary, Ministry of Information & Broadcasting; Shekhar Kapoor, Festival Director IFFI and Nandamuri Balakrishna, Legendary Actor was present during the interaction session. Commenting on the film Shekhar Kapoor mentioned, “I saw the opening film at the Berlin film festival where it won the silver beer, which is the second-best award is a very moving film, but I will let the director talk to you about it.” And Gabriel Mascaro remarked, “The movie is about this elderly woman that hopefully we support us to understand it always time to find your meaning life.” Shri Kapoor also expressed his hope in IFFI and went on to affirm, “I think in two, three years we'll have 100,000 people, and we will be as big as the Cannes Festival very soon.”",IFFI gees up its 56th chapter to pursue the trail of ‘The Blue Trail’,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192321
12,PIB,2025-11-21,"The 3rd Joint Working Group (JWG) Meeting on Alternative Medicine between the Ministry of Ayush, Government of India, and the Federal Ministry of Health, Germany, was held from 18 to 20 November 2025 in Berlin, marking another significant step in advancing Indo-German cooperation in the field of traditional and integrative healthcare. The Indian delegation was led by Ms. Monalisha Dash, Joint Secretary, Ministry of Ayush, and included Prof. (Dr.) Rabinarayan Acharya, Director General, CCRAS; Dr. Subhash Kaushik, Director General, CCRH; Dr. Koustabha Upadhyay, Adviser, Ministry of Ayush; and Dr. Kashinath Samagandi, Director, MDNY. The delegation engaged with leading German institutions to further concrete avenues of collaboration. The German officials leading the programme included Paul Zubeil, Head of Division European and International Health Policy, German Ministry of Health, Prof. Dr. med. Georg Seifert, Head of Competence Center for Traditional and Integrative Medicine, Charité Berlin, Andrea Galle, CEO, BKK mkk (statutory health insurance fund), Dr. Jaqueline Wiesner, Head of Department for Vitamins, minerals, special therapeutic approaches, Federal Institute for Drugs and Medical Devices (BfArM) participated. The discussions centred on three key pillars—integrating traditional medicine into public health systems, establishing reimbursement pathways for patient access, and strengthening regulatory approval mechanisms. These themes reflect the shared commitment of both n...",India & Germany Advance Collaboration on Traditional Medicine at the 3rd Joint Working Group Meeting on Alternative Medicine in Berlin,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192305
13,PIB,2025-11-21,"Government e-Marketplace (GeM), Ministry of Commerce and Industry, Government of India, and the United Nations Entity for Gender Equality and the Empowerment of Women (UN Women) have signed a Memorandum of Understanding (MoU) to enhance the empowerment and integration of women entrepreneurs from the informal sector into the country’s public procurement ecosystem. The MoU focuses on promoting gender-responsive procurement by encouraging increased sourcing from women-led businesses, thereby expanding market access for women entrepreneurs under GeM’s Womaniya initiative. The MoU was signed by Country Representative, UN Women India, Smt. Kanta Singh, and Additional CEO, GeM, Shri Ajit B. Chavan. CEO, GeM, Shri Mihir Kumar presided over the ceremony. In his presidential remarks, he said that the partnership reinforces GeM’s commitment to empowering women entrepreneurs by expanding their access to public procurement and creating forward market linkages through GeM. GeM, the national public procurement portal for Central and State Government Ministries, Departments, PSUs and autonomous bodies, continues to promote transparent, efficient and inclusive procurement. Through GeM, women entrepreneurs and Self-Help Groups (SHGs) can directly supply their products to government buyers. To support seamless onboarding and procurement, GeM has created generic product categories covering handicrafts, handloom items, jute and coir goods, bamboo products, organic foods, spices, accessories, home...",GeM and UN Women sign MoU to Boost Participation of Women Entrepreneurs in Public Procurement,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192297
14,PIB,2025-11-21,"In line with its core objective of meaningfully engaging with citizens across India, MyGov— the citizen-engagement platform of the Government of India—undertook a series of initiatives to mark the observance of National Space Day. Aimed at raising awareness and spreading knowledge about India’s remarkable space journey, MyGov created multiple avenues for public participation, including creative contests, informative social media campaigns, newsletters, blogs, podcasts, and videos. Among these efforts, one of the flagship initiatives was the National Space Day Quiz 2025. Designed to ignite curiosity, promote scientific temperament, and deepen public engagement with India’s space programme, the quiz drew thousands of enthusiastic participants from across the country. Further, MyGov offered the top 100 winners an exclusive opportunity to visit the Indian Space Research Organisation (ISRO) at the Satish Dhawan Space Centre – Sriharikota Range (SDSC SHAR) on 11th November 2025. The winners’ visit offered a unique behind-the-scenes understanding of India’s world-class space research and launch operations. The participants interacted with senior scientists and officials who conducted interactive sessions covering India’s space journey, major milestones, and cutting-edge technological developments. As part of the guided tour, the winners had the honour to visit the Master Control Centre and Launch Pads 1 and 2, the iconic platforms from which India’s launch vehicles ascend into space...","MyGov’s National Space Day Quiz 2025 Winners Experience an Inspiring Journey at ISRO, Sriharikota",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192294
15,PIB,2025-11-21,"#IFFIWood, 20 नोव्‍हेंबर 2025 Step into the streets. Feel the rhythm. See the stories unfold. IFFI transforms Goa into a living, breathing reel of wonder! For the first time in its distinguished journey, the International Film Festival of India (IFFI) stepped beyond the walls of tradition into the vibrant heart of Goa—embracing its people, streets and spirit in a celebration like never before. In a bold reimagining of its grand opening today, IFFI 2025 transformed the city into a vast, living canvas—where cinematic brilliance mingled with cultural splendour and the ageless magic of storytelling danced through the streets of Goa. As artists, performers and cinephiles filled the boulevards with energy and entertainment, Goa transformed into a pulsating corridor of creativity—signalling not just the beginning of a festival, but the dawn of a bold new chapter in IFFI’s legacy. Inaugurating the celebrations, Governor of Goa, Shri Pusapati Ashok Gajapathi Raju, lauded IFFI’s growing global stature, saying, “IFFI has become a meaningful platform for creative exchange, new collaborations, and the celebration of cinematic excellence. With Goa’s cosmopolitan character, cultural richness, and global connectivity, it is natural that film lovers gather here in such large numbers.”",IFFI Steps onto the Streets: A Historic Parade Opens the 56th Edition,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192289
16,PIB,2025-11-21,"India Post today inaugurated the revamped Delhi University Post Office, the second campus Post Office to be transformed under the nationwide initiative to connect more deeply with Generation Z. The initiative, guided by the vision of the Union Minister of Communications Shri. Jyotiraditya M. Scindia, aims to re-imagine Post Offices as vibrant, student-centric, technology-enabled spaces that resonate with young citizens. Delhi University Post Office entrance The Delhi University Post Office has been redesigned with the active participation of student artists from the Miranda House Adversity Fine Arts Society, whose ideas have shaped the graffiti, interior themes, and promotional material—giving the Post Office a distinct youth-driven identity. Modern features such as Free Wi-Fi access, dedicated student service counters, parcel packing services and Discounted Speed Post document services make the facility more contemporary and accessible. Gen-Z sitting space at Delhi University Post Office",India Post inaugurates second revamped Gen Z–themed Post Office at Delhi University,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192283
17,PIB,2025-11-21,"To strengthen and standardise quality infrastructure, National Education Society for Tribal Students ( NESTS) is organising a two-day workshop on “Building Quality Infrastructure for Tribal Education” on 21st and 22nd November 2025 at Akashvani Bhawan, New Delhi. This two days workshop is being inaugurated by Ms. Ranjana Chopra, Secretary, Ministry of Tribal Affairs . The workshop will bring together more than 300 engineers from various PSUs, CPWD, State Governments, and construction agencies. This workshop has been designed as capacity building exercise for focusing on faster progress of construction especially focusing on best quality practises. This initiative is part of the Government’s continued efforts to ensure the development of quality school infrastructure in remote tribal areas. About National Education Society for Tribal Students National Education Society for Tribal Students an autonomous organisation under the Ministry of Tribal Affairs , is implementing this key initiative. The Government has set a target of establishing 728 EMRSs across the country, of which 499 are currently functional and construction of the remaining schools is ongoing. To further promote sports and athletic excellence among tribal students, the Ministry is also setting up 15 Centres of Excellence for Sports (CoE for Sports) within these EMRSs. Expert Sessions for Quality-Assured Construction","NESTS Organises Workshop on ‘Building Quality Infrastructure for Tribal Education’ on 21st and 22nd November 2025 at Akashvani Bhawan, New Delhi",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192237
18,PIB,2025-11-21,"Minister of State (I/C), Ministry of Skill Development and Entrepreneurship (MSDE) and Ministry of Education, Government of India, Shri Jayant Chaudhary, today inaugurated the - Centre of Logistics Training Excellence, in the campus of National Skill Training Institute (NSTI) Hyderabad, which marked a major step in advancing technology-driven skilling for India’s logistics sector. While addressing on the occasion he said “India’s logistics sector is entering a high-growth decade, powered by the National Logistics Policy, PM Gati Shakti and unprecedented investments in multimodal infrastructure. But this transformation can only be sustained if we build a workforce that is as modern and future-ready as the systems we are creating,” . “Centres like Centre of Logistics Training for Excellence, Hyderabad show what the next generation of logistics skilling must look like—technology-led, industry-designed and sharply aligned to real operational needs. As automation, digital supply chains and new mobility models redefine the sector; skilled professionals will be the backbone of India’s competitiveness. Our commitment is clear: to equip lakhs of young Indians with the capabilities that will drive the efficiency, resilience and global leadership of India’s logistics economy,”he further added. Global Chief Sustainability Officer, Redington Ltd., R. Venkatesh, said, “The Centre of Logistics Training for Excellence in Chennai demonstrated how technology-enabled learning can truly transfor...","“India’s logistics sector is entering a high-growth decade; it needs a modern and future ready workforce” - Shri Jayant Chaudhary at the launch of Centre of Logistics Training for Excellence (COLTE), Hyderabad",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192215
19,PIB,2025-11-21,"The Change of Guard Ceremony on the Forecourt of Rashtrapati Bhavan will take place from 0830 a.m. and 0930 a.m. with effect from this Saturday (November 22, 2025) owing to the onset of the  winter season. *** MJPS/SR The Change of Guard Ceremony on the Forecourt of Rashtrapati Bhavan will take place from 0830 a.m. and 0930 a.m. with effect from this Saturday (November 22, 2025) owing to the onset of the  winter season.",CHANGE OF GUARD CEREMONY TO TAKE PLACE FROM 0830 AM TO 0930 AM FROM THIS SATURDAY,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192210
20,PIB,2025-11-21,"The 102 nd meeting of the Network Planning Group (NPG), was convened today to evaluate infrastructure projects of Road, Transport & Highways. The meeting focused on enhancing multimodal connectivity and logistics efficiency in alignment with the PM GatiShakti National Master Plan (PMGS NMP). The NPG evaluated 03 projects in which 01 Road/Highway projects of MoRTH & 02 Rail projects for their conformity to the PM GatiShakti principles of integrated multimodal infrastructure, last-mile connectivity to economic and social nodes and ‘Whole of Government’ approach. These initiatives are expected to boost logistics efficiency, reduce travel times, and deliver significant socio-economic benefits to the catchment areas of the project. The evaluation and anticipated impacts of these projects are detailed below: A brief description of the projects are given below: Ministry of Railways (MoR)",102nd National Planning Group Meeting Reviews Key Infrastructure Projects under PM GatiShakti,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192176
